activity_id,molecule_chembl_id,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_organism,standard_type,standard_relation,relation,IC50_nM,standard_units,pchembl_value,data_validity_comment,potential_duplicate,standard_flag,document_chembl_id,src_id,pIC50
106644,CHEMBL443622,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,41000.0,nM,4.39,,0,1,CHEMBL1135386,1,4.3872161432802645
106647,CHEMBL403882,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,15000.0,nM,4.82,,0,1,CHEMBL1135386,1,4.823908740944319
111673,CHEMBL317126,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,14000.0,nM,4.85,,0,1,CHEMBL1135386,1,4.853871964321762
113099,CHEMBL383705,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,4000.0,nM,5.4,,0,1,CHEMBL1135386,1,5.3979400086720375
121780,CHEMBL98008,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,17000.0,nM,4.77,,0,1,CHEMBL1135386,1,4.769551078621726
127135,CHEMBL317944,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,23210.0,nM,4.63,,0,1,CHEMBL1135386,1,4.6343248595440825
128208,CHEMBL93507,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,67000.0,nM,4.17,,0,1,CHEMBL1135386,1,4.173925197299174
129486,CHEMBL93931,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,21000.0,nM,4.68,,0,1,CHEMBL1135386,1,4.6777807052660805
140459,CHEMBL503274,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,4000.0,nM,5.4,,0,1,CHEMBL1135386,1,5.3979400086720375
141671,CHEMBL328694,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,39000.0,nM,4.41,,0,1,CHEMBL1135386,1,4.4089353929735005
