activity_id,molecule_chembl_id,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_organism,standard_type,standard_relation,relation,IC50_nM,standard_units,pchembl_value,data_validity_comment,potential_duplicate,standard_flag,document_chembl_id,src_id,pIC50,pref_name,canonical_smiles,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,has_multiple_fragments_raw,parent_smiles,has_multiple_fragments_parent
106644,CHEMBL443622,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,41000.0,nM,4.39,,0,1,CHEMBL1135386,1,4.3872161432802645,,C[C@H](N)C(=O)N1CCCC1,142.2,-0.04,2.0,1.0,46.33,1.0,0.0,False,C[C@H](N)C(=O)N1CCCC1,False
106647,CHEMBL403882,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,15000.0,nM,4.82,,0,1,CHEMBL1135386,1,4.823908740944319,,O=C([C@@H]1CCCN1)N1CCCC1,168.24,0.36,2.0,1.0,32.34,1.0,0.0,False,O=C([C@@H]1CCCN1)N1CCCC1,False
111673,CHEMBL317126,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,14000.0,nM,4.85,,0,1,CHEMBL1135386,1,4.853871964321762,,NC(Cc1ccc(O)cc1)C(=O)N1CCCC1,234.3,0.88,3.0,2.0,66.56,3.0,0.0,False,NC(Cc1ccc(O)cc1)C(=O)N1CCCC1,False
113099,CHEMBL383705,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,4000.0,nM,5.4,,0,1,CHEMBL1135386,1,5.3979400086720375,,CC(C)[C@H](N)C(=O)N1CCCC1,170.26,0.59,2.0,1.0,46.33,2.0,0.0,False,CC(C)[C@H](N)C(=O)N1CCCC1,False
121780,CHEMBL98008,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,17000.0,nM,4.77,,0,1,CHEMBL1135386,1,4.769551078621726,,N[C@@H](CC1CCCCC1)C(=O)N1CCCC1,224.35,1.91,2.0,1.0,46.33,3.0,0.0,False,N[C@@H](CC1CCCCC1)C(=O)N1CCCC1,False
127135,CHEMBL317944,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,23210.0,nM,4.63,,0,1,CHEMBL1135386,1,4.6343248595440825,,NC(Cc1c[nH]cn1)C(=O)N1CCCC1,208.26,-0.1,3.0,2.0,75.01,3.0,0.0,False,NC(Cc1c[nH]cn1)C(=O)N1CCCC1,False
128208,CHEMBL93507,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,67000.0,nM,4.17,,0,1,CHEMBL1135386,1,4.173925197299174,,CCC(C)C(N)C(=O)N1CCCCC1,198.31,1.37,2.0,1.0,46.33,3.0,0.0,False,CCC(C)C(N)C(=O)N1CCCCC1,False
129486,CHEMBL93931,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,21000.0,nM,4.68,,0,1,CHEMBL1135386,1,4.6777807052660805,,NC(Cc1ccccc1)C(=O)N1CCCC1,218.3,1.18,2.0,1.0,46.33,3.0,0.0,False,NC(Cc1ccccc1)C(=O)N1CCCC1,False
140459,CHEMBL503274,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,4000.0,nM,5.4,,0,1,CHEMBL1135386,1,5.3979400086720375,,CC[C@H](C)[C@H](N)C(=O)N1CCCC1,184.28,0.98,2.0,1.0,46.33,3.0,0.0,False,CC[C@H](C)[C@H](N)C(=O)N1CCCC1,False
141671,CHEMBL328694,CHEMBL666573,In vitro inhibition of human Dipeptidylpeptidase IV.,B,CHEMBL284,Homo sapiens,IC50,=,=,39000.0,nM,4.41,,0,1,CHEMBL1135386,1,4.4089353929735005,,NCCCCC(N)C(=O)N1CCCC1,199.3,0.07,3.0,2.0,72.35,5.0,0.0,False,NCCCCC(N)C(=O)N1CCCC1,False
