parent_smiles,molecule_chembl_id,pref_name,canonical_smiles_examples,n_records,IC50_nM_median,IC50_nM_min,IC50_nM_max,pIC50_median,pIC50_min,pIC50_max,pIC50_std,pchembl_median,assay_type,assay_chembl_id,document_chembl_id,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,pIC50_range
C#C[C@@H]1C[C@H](F)CN1C(=O)CC(C)(C)CC(=O)N[C@H]1C[C@@H]1c1cccc(Cl)c1,CHEMBL1082996,,C#C[C@@H]1C[C@H](F)CN1C(=O)CC(C)(C)CC(=O)N[C@H]1C[C@@H]1c1cccc(Cl)c1,3,210.0,15.0,847.0,6.6777807052660805,6.072116589669293,7.823908740944319,0.8896829244509974,6.68,B,CHEMBL1119677;CHEMBL1119686;CHEMBL1119687,CHEMBL1158599,404.91,3.69,2.0,1.0,49.41,6.0,0.0,1.7517921512750254
C=CCC1c2nnc(C(F)(F)F)n2CCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,CHEMBL537000,,C=CCC1c2nnc(C(F)(F)F)n2CCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F.Cl,2,16.75,1.5,32.0,8.159379381312206,7.494850021680094,8.823908740944319,0.9397864329868414,8.16,B,CHEMBL944056,CHEMBL1140747,447.38,3.13,5.0,1.0,77.04,6.0,0.0,1.329058719264225
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL237500,LINAGLIPTIN,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,8,0.7,0.1,15.37,9.198970004336019,7.813326132500254,10.0,0.720012375473682,9.2,B,CHEMBL1954392;CHEMBL2389862;CHEMBL4379983;CHEMBL5217466;CHEMBL5366931;CHEMBL5734252;CHEMBL6082526;CHEMBL902716,CHEMBL1138349;CHEMBL1949653;CHEMBL2385017;CHEMBL4376848;CHEMBL5214975;CHEMBL5365448;CHEMBL5727221;CHEMBL6078720,472.55,1.15,10.0,1.0,116.86,4.0,0.0,2.1866738674997457
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc3cc(F)ccc3s1)c(=O)n2C,CHEMBL4113723,,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc3cc(F)ccc3s1)c(=O)n2C,3,0.08,0.05,1.4,10.096910013008056,8.853871964321762,10.301029995663981,0.7832703796135333,10.1,B,CHEMBL3887953;CHEMBL5366914,CHEMBL3886515;CHEMBL5365448,481.56,1.64,10.0,1.0,103.97,4.0,0.0,1.4471580313422194
CC(=O)N(C)C1CCC([C@H](C(=O)N(C)C)[C@H](N)C(=O)N2CC[C@H](F)C2)CC1,CHEMBL428747,,CC(=O)N(C)C1CCC([C@H](C(=O)N(C)C)[C@H](N)C(=O)N2CC[C@H](F)C2)CC1.Cl,2,109.5,29.0,190.0,7.129424200574108,6.721246399047171,7.537602002101044,0.5772505827790272,7.13,B,CHEMBL887122;CHEMBL887126,CHEMBL1139199,384.5,0.63,4.0,1.0,86.95,5.0,0.0,0.8163556030538732
CC(=O)N(C)C1CCC([C@H](C)[C@H](N)C(=O)N2CC[C@H](F)C2)CC1,CHEMBL245545,,CC(=O)N(C)C1CCC([C@H](C)[C@H](N)C(=O)N2CC[C@H](F)C2)CC1.Cl,2,28.0,16.0,40.0,7.596910013008056,7.3979400086720375,7.795880017344075,0.28138607863743126,7.6,B,CHEMBL887122;CHEMBL887126,CHEMBL1139199,327.44,1.56,3.0,1.0,66.64,4.0,0.0,0.3979400086720375
CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(C)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1,CHEMBL265344;CHEMBL439382,,CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(C)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1;CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(C)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,2,3000.0,400.0,5600.0,5.824875990832918,5.251811972993799,6.3979400086720375,0.8104349061360995,5.825,B,CHEMBL666617;CHEMBL901594,CHEMBL1132608;CHEMBL1138263,514.52,3.95,7.0,3.0,126.07,8.0,1.0,1.1461280356782382
CC(=O)OCc1ccc2cc1C(=O)NCC(=O)NCC(=O)NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N2,CHEMBL1160335,,CC(=O)OCc1ccc2cc1C(=O)NCC(=O)NCC(=O)NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N2.O=C(O)C(F)(F)F,2,2500.0,1500.0,3500.0,5.6399203482970215,5.455931955649724,5.823908740944319,0.2601988802010339,5.640000000000001,B,CHEMBL664926;CHEMBL664927,CHEMBL1131574,530.58,-0.85,8.0,5.0,189.03,2.0,1.0,0.3679767852945943
CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBL63406,,CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,2,830.0,60.0,1600.0,6.508864383480216,5.795880017344075,7.221848749616356,1.0083121603497145,6.51,B,CHEMBL5737203;CHEMBL665783,CHEMBL1129318;CHEMBL5728672,228.1,,,,,,,1.4259687322722812
CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1C#N,CHEMBL363250,,CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1C#N,2,653.5,7.0,1300.0,7.020479303839453,5.886056647693163,8.154901959985743,1.6043159057853935,7.02,B,CHEMBL5737203;CHEMBL827834,CHEMBL1138669;CHEMBL5728672,209.29,0.87,3.0,1.0,70.12,1.0,0.0,2.26884531229258
CC(C)(CC(=O)N1CCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,CHEMBL1082462,DBPR-108,CC(C)(CC(=O)N1CCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,3,10.0,5.0,15.0,8.0,7.823908740944319,8.301029995663981,0.24127159022926037,8.0,B,CHEMBL1119677;CHEMBL1119686;CHEMBL1119687,CHEMBL1158599,324.4,0.83,4.0,1.0,76.44,5.0,0.0,0.4771212547196626
CC(C)(CC(=O)N1CCCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,CHEMBL1085074,,CC(C)(CC(=O)N1CCCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,2,20.5,14.0,27.0,7.711254100081387,7.568636235841012,7.853871964321762,0.2016921178454229,7.71,B,CHEMBL1119677;CHEMBL1119686,CHEMBL1158599,338.43,1.22,4.0,1.0,76.44,5.0,0.0,0.28523572848074963
CC(C)(CC(=O)N1CCN(S(C)(=O)=O)CC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,CHEMBL1085595,,CC(C)(CC(=O)N1CCN(S(C)(=O)=O)CC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,2,19.5,15.0,24.0,7.721848749616356,7.619788758288394,7.823908740944319,0.14433462391168503,7.720000000000001,B,CHEMBL1119677;CHEMBL1119686,CHEMBL1158599,417.51,-0.69,6.0,1.0,113.82,6.0,0.0,0.20411998265592501
CC(C)=CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1)c(=O)n2C,CHEMBL237488,,CC(C)=CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1)c(=O)n2C,3,1.1,1.0,6.0,8.958607314841775,8.221848749616356,9.0,0.437806255911458,8.96,B,CHEMBL2410616;CHEMBL2410618;CHEMBL902716,CHEMBL1138349;CHEMBL2406945,450.54,1.67,9.0,1.0,108.15,6.0,0.0,0.7781512503836439
