parent_smiles,molecule_chembl_id,pIC50_median,activity_class,PCA1,PCA2,tSNE1,tSNE2,Set
Brc1nc2n(n1)CC(c1cc3ccccc3o1)=NN2,CHEMBL4246951,4.55206713440782,Low,-0.15636812005359876,-0.6088151865399473,-12.93011,1.1404641,Train
C#CCN(CC#N)C(=O)[C@@H]1C[C@H](C(=O)N(C)C)[C@H](C)N1,CHEMBL260701,7.221848749616356,High,0.07945357411627686,1.4666830949369112,-12.416172,23.43997,Train
C#CCn1c(=O)n(C)c(=O)c2c1nc(N1CCCC(N)C1)n2Cc1ccccc1C#N,CHEMBL3913618,7.795880017344075,High,-4.1438399486944455,-0.8130856064561276,-48.954247,-14.468111,Train
C#CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL5277490,8.876148359032914,High,-4.343432193417589,-1.1762405132205018,-55.621376,6.9386516,Test
C#Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,CHEMBL1650422,8.301029995663981,High,-3.1799297410561875,-0.5746441786602828,-48.642498,-18.841946,Train
C/C=C/Cn1c(N2CCCC(N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(=O)C(C)C)c(=O)n2C,CHEMBL3987141,8.522878745280337,High,-3.2782938095823835,-0.8901708298864787,-41.54251,8.7314205,Train
C/C=C/Cn1c(N2CCCC(N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(C)=O)c(=O)n2C,CHEMBL3889902,8.698970004336019,High,-3.5462689720843925,-0.7515838537276597,-41.39978,8.514666,Train
C/C=C/Cn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1)c(=O)n2C,CHEMBL3958450,8.522878745280337,High,-3.5039494650249927,-1.031350570410716,-41.14912,8.065658,Train
C/C=C/Cn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(=O)C(C)C)c(=O)n2C,CHEMBL3926493,8.397940008672037,High,-3.3383472223322173,-0.9316494888945187,-41.57821,8.825084,Train
C/C=C/Cn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1OCC(=O)NC)c(=O)n2C,CHEMBL3965981,9.0,High,-3.7138813928254724,-0.9140992786568278,-41.464005,9.155971,Train
C/C=C/Cn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(=O)C(C)C)c(=O)n2C,CHEMBL3950914,8.397940008672037,High,-3.2381089234995555,-0.8795160293430638,-41.517994,8.703947,Test
C/C=C/Cn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1OCC(=O)NC)c(=O)n2C,CHEMBL3893759,9.0,High,-3.613643093992809,-0.8619658191053733,-41.40826,9.06721,Train
C/C=C/OC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN,CHEMBL5218500,9.1249387366083,High,0.2344178897001324,1.1821961349892958,0.044951055,28.885582,Train
C/C=C/OC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,CHEMBL5219761,8.1944991418416,High,-0.2242335028344092,1.6557361377654243,-0.1659799,30.82232,Train
C=C(C)C[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,CHEMBL437570,8.244125144327509,High,-0.39277698120319265,3.2191603826274715,-39.631428,52.90607,Train
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CHEMBL269277,4.253210167847388,Low,0.25665678243666445,0.9549496867026194,-10.117375,8.068408,Test
C=C1CCN(C(=O)[C@@H](N)CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,CHEMBL3800113,4.468521082957745,Low,1.5712079324904338,-0.2238545902901311,12.571341,1.523028,Train
C=C1C[C@@H](C#N)N(C(=O)[C@@H](N)CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,CHEMBL3797842,6.167491087293763,Moderate,1.1737196788768574,1.2202373697001416,28.238699,35.037247,Train
C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,CHEMBL139702,4.517269299920057,Low,0.21691379593658208,0.1617420401207799,-21.333492,6.4544435,Train
C=CCC(C(=O)N1CCn2c(nnc2C(F)(F)F)C1)[C@H](N)Cc1cc(F)c(F)cc1F,CHEMBL396789,5.700057099977233,Low,2.1899754655574877,-0.9516824500664945,32.528233,-19.091887,Test
C=CCN(CC#N)C(=O)[C@@H]1C[C@H](C(=O)N(C)C)[C@H](C)N1,CHEMBL261462,7.387216143280264,High,0.08648016162267469,1.470676088715031,-12.39223,23.422544,Train
C=CCN(CC=C)C(=O)n1cnc(S(=O)(=O)C2CC3CCC2C3)n1,CHEMBL522909,7.67778070526608,High,0.19136665518308593,0.5337429129879566,-8.668537,8.785052,Train
C=CC[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,CHEMBL245069,8.455931955649724,High,-0.3213462393092748,3.264177197378752,-39.023735,53.315086,Train
C=CCn1c(=O)c2c(ncn2Cc2ccc(C#N)cc2)n(Cc2ccccc2)c1=O,CHEMBL6102689,7.633950790199765,High,-1.8041931202498234,-0.040003198775646995,-41.27451,-1.0062401,Train
C=CCn1c(Oc2ccc([N+](=O)[O-])cc2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL6143955,7.791558643561433,High,-2.2400087436689513,-0.6417427522206378,-35.867435,1.5996609,Train
C=COC(=O)[C@@H]1CCCN1C(=O)CN,CHEMBL5219299,9.55284196865778,High,0.043987201080187104,1.3924569179318753,-1.3631973,30.61593,Train
C=COC(=O)[C@@H]1CCCN1C(=O)CNC(=O)OC(C)(C)C,CHEMBL5220053,7.607303046740334,High,-0.24431932096153297,1.9372813823173398,-0.84973055,31.622564,Train
C=COC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN,CHEMBL5220657,9.886056647693165,High,0.33583896959789944,1.2032333402872017,0.10572356,28.850672,Train
C=COC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,CHEMBL5220594,9.795880017344077,High,-0.20947814139457605,1.6522037161571446,-0.17883727,30.829336,Test
C=COCC(=O)N1CCN(C(=O)C[C@H](N)Cc2ccccc2F)CC1,CHEMBL230095,5.655804284128565,Low,1.923390863232392,-0.8053842253735803,48.773643,8.91333,Train
