parent_smiles,molecule_chembl_id,pref_name,canonical_smiles_examples,n_records,IC50_nM_median,IC50_nM_min,IC50_nM_max,pIC50_median,pIC50_min,pIC50_max,pIC50_std,pchembl_median,assay_type,assay_chembl_id,document_chembl_id,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,pIC50_range,activity_class
Brc1nc2n(n1)CC(c1cc3ccccc3o1)=NN2,CHEMBL4246951,,Brc1nc2n(n1)CC(c1cc3ccccc3o1)=NN2,1,28050.0,28050.0,28050.0,4.55206713440782,4.55206713440782,4.55206713440782,0.0,4.55,B,CHEMBL4232372,CHEMBL4229387,318.13,2.62,6.0,1.0,68.24,1.0,0.0,0.0,Low
C#CCN(CC#N)C(=O)[C@@H]1C[C@H](C(=O)N(C)C)[C@H](C)N1,CHEMBL260701,,C#CCN(CC#N)C(=O)[C@@H]1C[C@H](C(=O)N(C)C)[C@H](C)N1,1,60.0,60.0,60.0,7.221848749616356,7.221848749616356,7.221848749616356,0.0,7.22,B,CHEMBL939125,CHEMBL1143890,276.34,-0.57,4.0,1.0,76.44,4.0,0.0,0.0,High
C#CCn1c(=O)n(C)c(=O)c2c1nc(N1CCCC(N)C1)n2Cc1ccccc1C#N,CHEMBL3913618,,C#CCn1c(=O)n(C)c(=O)c2c1nc(N1CCCC(N)C1)n2Cc1ccccc1C#N,1,16.0,16.0,16.0,7.795880017344075,7.795880017344075,7.795880017344075,0.0,7.8,B,CHEMBL3888356,CHEMBL3886676,417.47,0.38,9.0,1.0,114.87,4.0,0.0,0.0,High
C#CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CHEMBL5277490,,C#CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,1,1.33,1.33,1.33,8.876148359032914,8.876148359032914,8.876148359032914,0.0,8.88,B,CHEMBL5247172,CHEMBL5244277,458.53,0.76,10.0,1.0,116.86,4.0,0.0,0.0,High
C#Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,CHEMBL1650422,,C#Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,1,5.0,5.0,5.0,8.301029995663981,8.301029995663981,8.301029995663981,0.0,8.3,B,CHEMBL1664314,CHEMBL1649419,333.4,1.07,6.0,1.0,87.94,3.0,0.0,0.0,High
C/C=C/Cn1c(N2CCCC(N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(=O)C(C)C)c(=O)n2C,CHEMBL3987141,,C/C=C/Cn1c(N2CCCC(N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(=O)C(C)C)c(=O)n2C,1,3.0,3.0,3.0,8.522878745280337,8.522878745280337,8.522878745280337,0.0,8.52,B,CHEMBL3888356,CHEMBL3886676,521.62,1.88,10.0,2.0,137.25,8.0,1.0,0.0,High
C/C=C/Cn1c(N2CCCC(N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(C)=O)c(=O)n2C,CHEMBL3889902,,C/C=C/Cn1c(N2CCCC(N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(C)=O)c(=O)n2C,1,2.0,2.0,2.0,8.698970004336019,8.698970004336019,8.698970004336019,0.0,8.7,B,CHEMBL3888356,CHEMBL3886676,493.57,1.24,10.0,2.0,137.25,7.0,0.0,0.0,High
C/C=C/Cn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1)c(=O)n2C,CHEMBL3958450,,C/C=C/Cn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1)c(=O)n2C,1,3.0,3.0,3.0,8.522878745280337,8.522878745280337,8.522878745280337,0.0,8.52,B,CHEMBL3888356,CHEMBL3886676,436.52,1.28,9.0,1.0,108.15,6.0,0.0,0.0,High
C/C=C/Cn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(=O)C(C)C)c(=O)n2C,CHEMBL3926493,,C/C=C/Cn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(=O)C(C)C)c(=O)n2C,1,4.0,4.0,4.0,8.397940008672037,8.397940008672037,8.397940008672037,0.0,8.4,B,CHEMBL3888356,CHEMBL3886676,521.62,1.88,10.0,2.0,137.25,8.0,1.0,0.0,High
C/C=C/Cn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1OCC(=O)NC)c(=O)n2C,CHEMBL3965981,,C/C=C/Cn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1OCC(=O)NC)c(=O)n2C,1,1.0,1.0,1.0,9.0,9.0,9.0,0.0,9.0,B,CHEMBL3888356,CHEMBL3886676,523.59,0.41,11.0,2.0,146.48,9.0,2.0,0.0,High
