molecule_chembl_id,pref_name,parent_smiles,pIC50_median,activity_class,MW,LogP,HBA,HBD
CHEMBL4246951,,Brc1nc2n(n1)CC(c1cc3ccccc3o1)=NN2,4.55206713440782,Low,318.134,2.6166,5,1
CHEMBL260701,,C#CCN(CC#N)C(=O)[C@@H]1C[C@H](C(=O)N(C)C)[C@H](C)N1,7.221848749616356,High,276.34,-0.5734199999999983,4,1
CHEMBL3913618,,C#CCn1c(=O)n(C)c(=O)c2c1nc(N1CCCC(N)C1)n2Cc1ccccc1C#N,7.795880017344075,High,417.4730000000001,0.3773800000000014,6,1
CHEMBL5277490,,C#CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,8.876148359032914,High,458.52600000000024,0.7573200000000002,7,1
CHEMBL1650422,,C#Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,8.301029995663981,High,333.3950000000001,1.0720799999999997,5,1
CHEMBL3987141,,C/C=C/Cn1c(N2CCCC(N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(=O)C(C)C)c(=O)n2C,8.522878745280337,High,521.6220000000003,1.8777000000000001,7,2
CHEMBL3889902,,C/C=C/Cn1c(N2CCCC(N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(C)=O)c(=O)n2C,8.698970004336019,High,493.56800000000027,1.2416000000000005,7,2
CHEMBL3958450,,C/C=C/Cn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1)c(=O)n2C,8.522878745280337,High,436.5160000000002,1.2832,6,1
CHEMBL3926493,,C/C=C/Cn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(=O)C(C)C)c(=O)n2C,8.397940008672037,High,521.6220000000003,1.8777000000000001,7,2
CHEMBL3965981,,C/C=C/Cn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1OCC(=O)NC)c(=O)n2C,9.0,High,523.5940000000003,0.4080000000000022,8,2
CHEMBL3950914,,C/C=C/Cn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(=O)C(C)C)c(=O)n2C,8.397940008672037,High,521.6220000000003,1.8777000000000001,7,2
CHEMBL3893759,,C/C=C/Cn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1OCC(=O)NC)c(=O)n2C,9.0,High,523.5940000000003,0.4080000000000022,8,2
CHEMBL5218500,,C/C=C/OC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN,9.1249387366083,High,283.372,0.510500000000001,5,2
CHEMBL5219761,,C/C=C/OC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,8.1944991418416,High,483.6060000000002,3.642500000000001,7,2
CHEMBL437570,,C=C(C)C[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,8.244125144327509,High,247.34199999999993,1.4452799999999995,3,1
CHEMBL3800113,,C=C1CCN(C(=O)[C@@H](N)CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,4.468521082957745,Low,468.5480000000002,2.7043000000000017,4,1
CHEMBL3797842,,C=C1C[C@@H](C#N)N(C(=O)[C@@H](N)CC(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1,6.167491087293763,Moderate,493.5580000000002,2.5964800000000006,5,1
CHEMBL139702,LICOAGROCHACONE A,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,4.517269299920057,Low,338.4030000000001,4.466100000000004,4,2
CHEMBL396789,,C=CCC(C(=O)N1CCn2c(nnc2C(F)(F)F)C1)[C@H](N)Cc1cc(F)c(F)cc1F,5.700057099977233,Low,447.38300000000015,2.8187000000000006,4,1
CHEMBL261462,,C=CCN(CC#N)C(=O)[C@@H]1C[C@H](C(=O)N(C)C)[C@H](C)N1,7.387216143280264,High,278.356,-0.020619999999998917,4,1
CHEMBL522909,,C=CCN(CC=C)C(=O)n1cnc(S(=O)(=O)C2CC3CCC2C3)n1,7.67778070526608,High,350.4440000000002,1.8824999999999998,5,0
CHEMBL245069,,C=CC[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,8.455931955649724,High,233.31499999999994,1.0551799999999996,3,1
CHEMBL6102689,,C=CCn1c(=O)c2c(ncn2Cc2ccc(C#N)cc2)n(Cc2ccccc2)c1=O,7.633950790199765,High,397.43800000000016,2.513980000000001,4,0
CHEMBL6143955,,C=CCn1c(Oc2ccc([N+](=O)[O-])cc2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,7.791558643561433,High,499.48700000000025,3.083120000000001,8,0
CHEMBL5219299,,C=COC(=O)[C@@H]1CCCN1C(=O)CN,9.55284196865778,High,198.22199999999995,-0.3771999999999997,4,1
CHEMBL5220053,,C=COC(=O)[C@@H]1CCCN1C(=O)CNC(=O)OC(C)(C)C,7.607303046740334,High,298.339,1.1887999999999999,5,1
CHEMBL5220657,,C=COC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN,9.886056647693165,High,269.3449999999999,0.12040000000000128,5,2
CHEMBL5220594,,C=COC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,9.795880017344077,High,469.57900000000024,3.2524000000000006,7,2
CHEMBL230095,,C=COCC(=O)N1CCN(C(=O)C[C@H](N)Cc2ccccc2F)CC1,5.655804284128565,Low,349.40600000000006,0.9164999999999999,4,1
CHEMBL1650426,,C=Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,8.096910013008056,High,335.41100000000006,1.7337799999999999,5,1
CHEMBL3343899,,CC#CC#Cc1ccc(C#CC(O)CO)s1,5.562249437179612,Low,230.28799999999998,0.8275999999999999,3,2
CHEMBL5269668,,CC#CCN1C(N2CCC[C@@H](N)C2)=NC2C1C(=O)N(Cc1cccnc1C#N)C(=O)N2Cc1cccnc1C#N,10.045757490560677,High,536.6000000000003,0.9970600000000036,10,1
CHEMBL5270313,,CC#CCN1C(N2CCC[C@@H](NC(=O)OC(C)(C)C)C2)=NC2N=C3N(C)C(=O)CN3C(=O)C21,8.769551078621726,High,457.53500000000025,0.035300000000001885,8,1
CHEMBL4649180,,CC#CCN1C(N2CCC[C@H](N)C2)=NC2C1C(=O)N(C(C)c1nc(C)c3ccccc3n1)C(=O)N2C,8.684029654543082,High,488.59600000000023,1.7059200000000019,8,1
CHEMBL257589,,CC#CCn1c(C(=O)N(C)Cc2cccc3ccccc23)cnc1N1CCCC(N)C1,5.514420523015321,Low,415.5410000000003,3.2593000000000005,4,1
