Ligand,Binding Affinity,rmsd/ub, rmsd/lb
2RGU_chainA_receptor_clean_2RGU_ligand_356_reference,-10.4,0.0,0.0
2RGU_chainA_receptor_clean_2RGU_ligand_356_reference,-10.2,3.814,2.378
2RGU_chainA_receptor_clean_2RGU_ligand_356_reference,-9.7,2.488,1.617
2RGU_chainA_receptor_clean_2RGU_ligand_356_reference,-9.4,8.726,2.548
2RGU_chainA_receptor_clean_2RGU_ligand_356_reference,-9.4,10.8,5.337
2RGU_chainA_receptor_clean_2RGU_ligand_356_reference,-8.9,9.339,2.546
2RGU_chainA_receptor_clean_2RGU_ligand_356_reference,-8.9,7.722,4.506
2RGU_chainA_receptor_clean_2RGU_ligand_356_reference,-8.8,8.746,2.131
2RGU_chainA_receptor_clean_2RGU_ligand_356_reference,-8.7,10.178,6.8
2RGU_chainA_receptor_clean_C1,-8.0,0.0,0.0
2RGU_chainA_receptor_clean_C1,-7.7,16.839,14.126
2RGU_chainA_receptor_clean_C1,-7.5,22.281,20.787
2RGU_chainA_receptor_clean_C1,-7.5,2.386,1.305
2RGU_chainA_receptor_clean_C1,-7.5,19.744,16.797
2RGU_chainA_receptor_clean_C1,-7.1,3.28,1.982
2RGU_chainA_receptor_clean_C1,-7.1,11.034,6.682
2RGU_chainA_receptor_clean_C1,-7.1,22.127,19.352
2RGU_chainA_receptor_clean_C1,-7.0,21.056,18.51
2RGU_chainA_receptor_clean_C2,-8.5,0.0,0.0
2RGU_chainA_receptor_clean_C2,-8.3,6.855,2.643
2RGU_chainA_receptor_clean_C2,-8.3,8.635,4.097
2RGU_chainA_receptor_clean_C2,-8.2,7.961,3.175
2RGU_chainA_receptor_clean_C2,-8.0,7.054,3.388
2RGU_chainA_receptor_clean_C2,-7.8,17.88,14.768
2RGU_chainA_receptor_clean_C2,-7.8,6.855,2.102
2RGU_chainA_receptor_clean_C2,-7.7,6.958,3.848
2RGU_chainA_receptor_clean_C2,-7.7,6.891,4.056
2RGU_chainA_receptor_clean_C3,-7.5,0.0,0.0
2RGU_chainA_receptor_clean_C3,-7.5,2.24,0.047
2RGU_chainA_receptor_clean_C3,-7.3,7.083,3.39
2RGU_chainA_receptor_clean_C3,-7.3,7.368,3.393
2RGU_chainA_receptor_clean_C3,-6.9,10.134,5.896
2RGU_chainA_receptor_clean_C3,-6.8,6.091,4.098
2RGU_chainA_receptor_clean_C3,-6.7,11.031,7.509
2RGU_chainA_receptor_clean_C3,-6.6,11.747,8.387
2RGU_chainA_receptor_clean_C3,-6.6,8.476,4.269
2RGU_chainA_receptor_clean_C4,-7.7,0.0,0.0
2RGU_chainA_receptor_clean_C4,-7.6,8.822,6.061
2RGU_chainA_receptor_clean_C4,-7.6,7.424,3.65
2RGU_chainA_receptor_clean_C4,-7.5,7.572,3.818
2RGU_chainA_receptor_clean_C4,-7.1,8.054,5.296
2RGU_chainA_receptor_clean_C4,-7.1,3.877,2.495
2RGU_chainA_receptor_clean_C4,-7.0,12.723,10.093
2RGU_chainA_receptor_clean_C4,-7.0,6.391,4.426
2RGU_chainA_receptor_clean_C4,-6.9,4.055,2.556
2RGU_chainA_receptor_clean_C5,-8.3,0.0,0.0
2RGU_chainA_receptor_clean_C5,-8.3,6.331,5.131
2RGU_chainA_receptor_clean_C5,-8.2,10.837,4.522
2RGU_chainA_receptor_clean_C5,-8.2,10.358,4.547
2RGU_chainA_receptor_clean_C5,-8.1,16.71,14.392
